,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean,target_scan_file
97,2,MC_dropout_quicknat_UKB_v2,1024239_20201_2_0,10,,,0.7365576871115914,0.7760944147111294,0.7563260509113604,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
98,2,MC_dropout_quicknat_UKB_v2,1024361_20201_2_0,10,,,0.4329388560157791,0.4976633884355165,0.4653011222256478,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
99,2,MC_dropout_quicknat_UKB_v2,1024361_20201_2_0,10,,,0.7572697196587149,0.7189708720491814,0.7381202958539481,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
100,2,MC_dropout_quicknat_UKB_v2,1025016_20201_2_0,10,,,0.7443577304366168,0.8819168103280665,0.8131372703823416,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
101,2,MC_dropout_quicknat_UKB_v2,1025142_20201_2_0,10,,,0.7130253766851705,0.7701937776308722,0.7416095771580213,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
102,2,MC_dropout_quicknat_UKB_v2,1025205_20201_2_0,10,,,0.8740981607560208,0.6863636363636364,0.7802308985598285,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
103,2,MC_dropout_quicknat_UKB_v2,1025205_20201_2_0,10,,,0.49823999999999996,0.8627340624572185,0.6804870312286093,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
104,2,MC_dropout_quicknat_UKB_v2,1025764_20201_2_0,10,,,0.7647174511603514,0.8652742508887761,0.8149958510245637,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
105,2,MC_dropout_quicknat_UKB_v2,1026125_20201_2_0,10,,,0.8396113857167207,0.8411103387832815,0.8403608622500011,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
106,2,MC_dropout_quicknat_UKB_v2,1026148_20201_2_0,10,,,0.6951917882225824,0.839437502903061,0.7673146455628217,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
